title,outlet,media_url,media_name,publish_date,url,language,date,debate_performance
Trump administration threatens Kennedy Center demolition,ABC News,abcnews.go.com,abcnews.go.com,2026-08-26,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1IcGhUb09oM01jcW1rbFVOOWJHSWNzZUhINS1ZNW1pWWRFc09pM3Uta1M1S0hwdkxSbjZ2SFdyYzhVSXd6R0RTcTJUSEI?oc=5,en,2026-08-26,
DOJ says no action to add Trump's name to Kennedy Center before October,ABC News,abcnews.go.com,abcnews.go.com,2026-08-27,https://abcnews.com/Politics/doj-action-add-trumps-kennedy-center-october/story?id=136020473,en,2026-08-27,
Video Federal judge lifts all blocks on Trump mail-in ballots executive order,ABC News,abcnews.go.com,abcnews.go.com,2026-08-27,https://news.google.com/rss/articles/CBMiTEFVX3lxTFBiUllmcFJTQ0RLR3RCTEQ3RlFwc21ZQld2VFB2Rng2Q0hNY0tvVURQSkswN3pya0RVNjlWYTNET2ZOaGtzVHNEOWl5clY?oc=5,en,2026-08-27,
Video Trump signs executive order renaming Lake Ontario to 'Lake America',ABC News,abcnews.go.com,abcnews.go.com,2026-08-27,https://news.google.com/rss/articles/CBMiTEFVX3lxTE5Rai13ZzFSaU5QZmpZQm92ekdNcDRRaGwwQk92SFhMYjVXclNtbVh6UUFaX3hGdDJfQlRpelBWT1ZTZ0RtckI1YW5DbTU?oc=5,en,2026-08-27,
Vice President JD Vance coming to Michigan next week,CBS News,cbsnews.com,cbsnews.com,2026-08-27,https://www.cbsnews.com/detroit/news/vice-president-jd-vance-coming-to-michigan-aug-31/,en,2026-08-27,
Minnesota joins multi-state Title X suit against Trump administration to protect birth control funding,CBS News,cbsnews.com,cbsnews.com,2026-08-27,https://www.cbsnews.com/minnesota/news/multistate-title-x-lawsuit-trump-administration-birth-control-funding/,en,2026-08-27,
Judge considers Kennedy Center board push to put Trump name back on building,CBS News,cbsnews.com,cbsnews.com,2026-08-27,https://www.cbsnews.com/news/judge-joyce-beatty-kennedy-center-trump-name/,en,2026-08-27,
Trump's Four-Year Intermission,Fox News,foxnews.com,foxnews.com,2026-08-27,https://radio.foxnews.com/2026/08/27/trumps-four-year-intermission/,en,2026-08-27,
California agobiada por escándalos de fraude en servicios de hospicio,Los Angeles Times,latimes.com,latimes.com,2026-08-27,https://www.latimes.com/espanol/california/articulo/2026-08-27/california-agobiada-por-escandalos-de-fraude-en-servicios-de-hospicio,es,2026-08-27,
Gobierno de Trump inicia obra de muro fronterizo en Arizona pese a objeciones de pueblos indígenas,Los Angeles Times,latimes.com,latimes.com,2026-08-27,https://www.latimes.com/espanol/eeuu/articulo/2026-08-27/gobierno-de-trump-inicia-obra-de-muro-fronterizo-en-arizona-pese-objeciones-de-pueblos-indigenas,es,2026-08-27,
"EEUU sufre de ""aguda escasez"" de misiles Patriot en Europa, dicen funcionarios",Los Angeles Times,latimes.com,latimes.com,2026-08-27,https://www.latimes.com/espanol/eeuu/articulo/2026-08-27/eeuu-sufre-de-aguda-escasez-de-misiles-patriot-en-europa-dicen-funcionarios,es,2026-08-27,
Cómo los aranceles entre EEUU y Canadá afectarán al consumidor común,Los Angeles Times,latimes.com,latimes.com,2026-08-27,https://www.latimes.com/espanol/eeuu/articulo/2026-08-27/como-los-aranceles-entre-eeuu-y-canada-afectaran-al-consumidor-comun,es,2026-08-27,
Trump announces 'historic' US-Venezuela oil deal that he says will lower gas prices,ABC News,abcnews.go.com,abcnews.go.com,2026-08-28,https://abcnews.com/International/trump-announces-historic-us-venezuela-oil-deal-lower/story?id=136046002,en,2026-08-28,
