title,outlet,media_url,media_name,publish_date,url,language,date,debate_performance
"Trump administration latest updates : Freedom 250 IndyCar race in Washington , DC",CNN,cnn.com,cnn.com,2026-08-23,https://edition.cnn.com/2026/08/23/politics/live-news/trump-administration-freedom-250-race,en,2026-08-23,
Trump-backed businessman Mike Mazzei looks to secure GOP nomination for Oklahoma governor,ABC News,abcnews.go.com,abcnews.go.com,2026-08-24,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQYTZVdlpCUk1WRWZTRXNadnlNeXJoVzZaLU96LTlWRDhCVWxHRW02djBoUHUwSlR1YkdQZkljUjhFc3g1RW4xb2pkeWxZblRpdEt4ZGx5OFpFZUdkeDJSNEU4SkVlbzUzZkJVaWJscDNKdFFCMjRITktNSmhOQWNxX1V6UVdPVmNhS2Z5UmFGUElndHJUMEcxZjVZdmZJMmlvRHVuWVU5cER1WE3SAbABQVVfeXFMTWU2Y005eklheHNpdU4yN1ZBN01JNUdEN1l3bm1oWlplOG1zMkx6aUcyY3BDaUlpa2o1QXcyci1tOHhCVnQ4WXo5bmJob09RR21rOGQ5clZKNW5PNHJtVGdlVWJTaUR6T2dWUXdZakFldk81MWk1YTZ5ZDB4M09nSFh1SnhoTEQtRm5wcE0ydk1xU25MZGdUcFZJUGZHbDNaRGxLbjJqUWtDd2EwQlNqQXI?oc=5,en,2026-08-24,
Video Supreme Court clears way for Trump mail-in voting restrictions,ABC News,abcnews.go.com,abcnews.go.com,2026-08-24,https://news.google.com/rss/articles/CBMiTEFVX3lxTE9HU0E4b1J3X1dNYW00V2paUkthZlpyQzRYVEQwNVg0QVVjckl1UUllYlU1MFlubFJRb2lDUnJiN0tqRlJaNXJObXV0cmE?oc=5,en,2026-08-24,
Video Supreme Court allows Trump administration to advance plan on mail-in voting,ABC News,abcnews.go.com,abcnews.go.com,2026-08-24,https://news.google.com/rss/articles/CBMiTEFVX3lxTE5Ia2pYLW5pbUptTkJYak93Z3h4R2YwZktoN0Z4STVWTndBMnNBV0I0R1MzVFhtMDQ1SnBqQjhCXzBYYUZMUHN5dlZwd3M?oc=5,en,2026-08-24,
Trump's 'economic D-Day' threats become warnings for countries to sever financial ties with Iran,ABC News,abcnews.go.com,abcnews.go.com,2026-08-24,https://news.google.com/rss/articles/CBMinAFBVV95cUxOeThjU2Q4bUY3ek4xejNIaW1XNExRQkFzVm55ckhIWW4xekJqM0ZXeXhlLW5oeDY1VjhpLUwyZ3VKclpWdzhTWmEtR0xWcWxqOUVtY2EtcWtsMDZMU3hrYVZ0ckF0S1ZRTTh2TmFvWWxhNmpOb3RsZVhkNnlWbFlBaGFOZUJVWm5jUXN1UU1fU0hOSUl6TExmc2JQTjfSAaIBQVVfeXFMTnJGTXJkVlFWTFNtM3hZSHZZLWhLSThnWk9yMm9rOFVlSmVwWFRodGxGTDNucE50WmNKYlR6VDAtZzdaM2ZUemdSZzZScXhpOEh2d01iTGNTVXBFRUMyNDVYdDBVTTE5cFA4Z2x2M1cteDFRaTVfT1gtdWVRTmpacTZFWUNJTlFXaFJreGtTRzl6TDV3TGx4RXdCbEdBN0hBZmJR?oc=5,en,2026-08-24,
Minnesota cattle farmers criticize Trump's plan to waive higher beef tariffs in effort to lower prices,CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/minnesota/news/minnesota-cattle-farmers-criticize-trump-beef-plan/,en,2026-08-24,
"Advocates, county leaders react after Trump administration lawsuit against Washtenaw County dismissed",CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/detroit/news/reaction-trump-administration-lawsuit-dismissed-washtenaw-county/,en,2026-08-24,
Trump administration lawsuit targeting Washtenaw County ICE policy dismissed,CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/detroit/video/trump-administration-lawsuit-targeting-washtenaw-county-ice-policy-dismissed/,en,2026-08-24,
Trump administration announces secondary sanctions to countries supporting Iran,CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/atlanta/video/trump-administration-announces-secondary-sanctions-to-countries-supporting-iran/,en,2026-08-24,
Minnesota cattle farmers decry Trump's move to waive higher beef tariffs,CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/minnesota/video/minnesota-cattle-farmers-decry-trumps-move-to-waive-higher-beef-tariffs/,en,2026-08-24,
"Gov. Jared Polis requests disaster declaration from president, FEMA after 2 Colorado wildfires",CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/colorado/video/gov-jared-polis-requests-disaster-declaration-from-president-fema-after-2-colorado-wildfires/,en,2026-08-24,
"What to know as U.S. announces ""Operation Economic Outcast"" campaign to cripple Iran's economy",CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/video/what-to-know-as-us-announces-operation-economic-outcast-campaign-to-cripple-irans-economy/,en,2026-08-24,
Trump announces 50% tariffs on Canadian auto and steel imports,CBS News,cbsnews.com,cbsnews.com,2026-08-24,https://www.cbsnews.com/detroit/video/trump-announces-50-tariffs-on-canadian-auto-and-steel-imports/,en,2026-08-24,
"Trump’s economic approval, deadly driving, procrastination effects: Catch up on the day’s stories",CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/5-things-pm-august-24-trnd,en,2026-08-24,
Nevada Army Guard operate above Hawk Fire,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/weather/video/nevada-army-guard-operate-above-hawk-fire-hnk-digvid-hori-dirty,en,2026-08-24,
French has become a sticking point in the Canada-US trade dispute. Here’s why,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/business/canada-us-tariffs-quebec-french-hnk,en,2026-08-24,
Meta trial enters week two,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/video/ac360-jacob-ward-meta,en,2026-08-24,
El-Sayed confronted about culture wars on Fox News,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/video/el-sayed-confronted-about-culture-wars-on-fox-news-lcl,en,2026-08-24,
How could Trump’s order to curb mail ballots be implemented before the midterms?,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/video/trump-mail-in-ballots-votings-election-usps-scotus-lead-tapper,en,2026-08-24,
Mental health experts disagree on whether Lindsay Clancy had postpartum psychosis when she killed her kids,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/video/lindsay-clancy-trial-mental-health-postpartum-psychosis-lead-tapper,en,2026-08-24,
"Supreme Court backs Trump’s order to curb mail ballots. So, what’s next?",CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/us/video/mail-ballots-supreme-court-trump-big-win-digvid,en,2026-08-24,
Bakery owner confronts Trump’s former border chief: ‘You are not welcome’,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/video/bovino-ice-immigration-bakery-owner-lead-tapper,en,2026-08-24,
"Lions, tigers rescued from notorious Argentina zoo",CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/world/video/big-cats-rescued-rosales-pkg-082412aseg2-cnni-world-fast,en,2026-08-24,
Arizona AG rips Supreme Court decision to allow Trump plan to restrict mail-in voting: ‘We will fight this!’,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/video/ebof-arizona-attorney-general-kris-mayes-scotus-mail-in-ballots,en,2026-08-24,
What Trump’s Supreme Court win means for mail ballots,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/trump-mail-ballot-supreme-court,en,2026-08-24,
‘Bring it on’: Ontario premier rails against Trump over tariffs threats,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/video/bring-it-on-ontario-premier-rails-against-trump-over-tariffs-threats-digvid,en,2026-08-24,
El-Sayed confronted about culture wars,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/video/el-sayed-confronted-about-culture-wars,en,2026-08-24,
Secret Service aware of Iranian state media video threatening life of Barron Trump,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/iran-barron-trump-threat-intl-hnk,en,2026-08-24,
What to know about an ‘economic D-Day’ for Iran,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/video/economic-dday-sanctions-iran-scott-bessent-trending-cli-hrzn,en,2026-08-24,
Supreme Court backs Trump’s order to curb mail ballots,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/supreme-court-mail-ballots-elections,en,2026-08-24,
"How Ukrainian culture, literature and art have been impacted by years of war",CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/world/video/ukraine-independence-day-andrey-kurkov-live-guest-082402pseg2-cnni-world-fast,en,2026-08-24,
Trump criticism leads to rare criminal charges for Air Force officer who called for impeachment,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/us-airman-charged-trump-criticism-article-88,en,2026-08-24,
"Trump administration proposes $103,000 fee for H-1B visas",CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/politics/trump-administration-h-1b-visa-fee,en,2026-08-24,
Charges filed against Airman who called for Trump to be impeached,CNN,cnn.com,cnn.com,2026-08-24,https://www.cnn.com/2026/08/24/us/video/ebof-air-force-major-jason-watson-charges-attorney-reacts,en,2026-08-24,
Why one of Trump favorite economic statistics is nearly meaningless,CNN,cnn.com,cnn.com,2026-08-24,https://us.cnn.com/2026/08/24/politics/fact-check-trump-economy-statistic,en,2026-08-24,
Supreme Court backs Trump order to curb mail ballots,CNN,cnn.com,cnn.com,2026-08-24,https://edition.cnn.com/2026/08/24/politics/supreme-court,en,2026-08-24,
"Trump economic approval , deadly driving , procrastination effects : Catch up on the day stories",CNN,cnn.com,cnn.com,2026-08-24,https://us.cnn.com/2026/08/24/us/5-things-pm-august-24-trnd,en,2026-08-24,
Republican blame - Biden strategy keeps coming up against a problem : Trump,CNN,cnn.com,cnn.com,2026-08-24,https://us.cnn.com/2026/08/24/politics/trump-economy-midterms-blame-biden,en,2026-08-24,
Daughter of late House Dem loses runoff bid to finish father's term,Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/politics/daughter-late-house-dem-goes-down-swinging-bid-serve-remainder-fathers-term,en,2026-08-24,
"Florida-led operation rescues 163 children around globe in historic state sweep, hunts suspected predators",Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/us/florida-led-operation-rescues-163-children-globe-historic-state-sweep-hunts-suspected-predators,en,2026-08-24,
Could Iran’s regime collapse? Experts assess Bessent’s bid to sever financial lifelines,Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/world/could-irans-regime-collapse-experts-assess-bessents-bid-sever-financial-lifelines,en,2026-08-24,
BRUCE PEARL: Conservatives are attacking the very college sports bill that protects women,Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/opinion/bruce-pearl-conservatives-attacking-college-sports-bill-protects-women,en,2026-08-24,
LIZ PEEK: China is cheering as the Left blocks America’s AI infrastructure,Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/opinion/liz-peek-china-cheering-left-blocks-americas-ai-infrastructure,en,2026-08-24,
"Blue state's water failures could threaten food supplies across US, lawmaker warns",Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/politics/blue-states-water-failures-could-threaten-food-supplies-across-us-lawmaker-warns,en,2026-08-24,
Smithsonian-linked museum in El-Sayed’s backyard puts America’s post-9/11 response on trial,Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/politics/smithsonian-linked-museum-el-sayeds-backyard-puts-americas-post-9-11-response-trial,en,2026-08-24,
"Surging Dem with DSA ties is 'either a bona-fide socialist, or she's not very smart': GOP rep",Fox News,foxnews.com,foxnews.com,2026-08-24,https://www.foxnews.com/politics/surging-dem-dsa-ties-bona-fide-socialist-not-very-smart-gop-rep,en,2026-08-24,
The opposing narratives in the Lindsay Clancy trial,NBC News,nbcnews.com,nbcnews.com,2026-08-24,https://www.nbcnews.com/video/the-opposing-narratives-in-the-lindsay-clancy-trial-268783173708,en,2026-08-24,
"People in Gary, Indiana without power for 13 days",NBC News,nbcnews.com,nbcnews.com,2026-08-24,https://www.nbcnews.com/nightly-news/video/people-in-gary-indiana-without-power-for-13-days-268795461614,en,2026-08-24,
Access to immigration court is not always easy for advocate volunteers,NPR,npr.org,npr.org,2026-08-24,https://www.npr.org/2026/08/24/nx-s1-5929295/access-to-immigration-court-is-not-always-easy-for-advocate-volunteers,en,2026-08-24,
Will the Trump Administration’s latest economic pressure on Iran work?,NPR,npr.org,npr.org,2026-08-24,https://www.npr.org/2026/08/24/nx-s1-5943573/will-the-trump-administrations-latest-economic-pressure-on-iran-work,en,2026-08-24,
Trump heads into midterms short on foreign policy wins,Reuters,reuters.com,reuters.com,2026-08-24,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWVpobThVRFlSUldKZkNtUFdwaTRmaFZyQl9HOExfQ2dxQkFOd2EtdWdtWUZ1ckthb3dKTVZwSmtpNk5Eb3A3dVFhWnVqZzlyMlpCQlFydGZrYTlyNzFDV21fQzZPYWxqeFBranZibzZiampxb3pyYll0LXhqZUJmN2ZNa3Q2UE55Tk1QSEx3NG9wd21zbFowNjZIcTY?oc=5,en,2026-08-24,
Jimmy Kimmel's wife Molly McNearney on his potential retirement,USA Today,usatoday.com,usatoday.com,2026-08-24,https://www.usatoday.com/story/entertainment/celebrities/2026/08/24/jimmy-kimmel-wife-molly-mcnearney-retirement/91450220007/,en,2026-08-24,
JD Vance says calling Canada a 'state' was a 'Freudian slip',USA Today,usatoday.com,usatoday.com,2026-08-24,https://www.usatoday.com/story/news/politics/2026/08/24/jd-vance-canada-state-freudian-slip/91449817007/,en,2026-08-24,
Trump makes final pitch for Darline Graham in South Carolina runoff,USA Today,usatoday.com,usatoday.com,2026-08-24,https://www.usatoday.com/story/news/politics/2026/08/24/trump-darline-graham-ralph-normal-senate-runoff-south-carolina/91450076007/,en,2026-08-24,
Target's latest backlash is an 'offensive' Halloween costume,USA Today,usatoday.com,usatoday.com,2026-08-24,https://www.usatoday.com/story/money/retail/2026/08/24/target-halloween-costume-blackface-minstrel-comparisons/91449529007/,en,2026-08-24,
"Robert De Niro talks 'Whisper Man,' slams Trump's AI video attack",USA Today,usatoday.com,usatoday.com,2026-08-24,https://www.usatoday.com/story/entertainment/movies/2026/08/24/robert-de-niro-whisper-man-netflix/91436187007/,en,2026-08-24,
‘We got attacked’: Canada says it will retaliate for new tariffs enacted by Trump,Washington Post,washingtonpost.com,washingtonpost.com,2026-08-24,https://news.google.com/rss/articles/CBMikAJBVV95cUxPX01LX1lVZHBSVlZQcl9aRVlTU0c0U1FsR2F1UGNWU002RzAwQUxmTFRlWHJXSTFVdjZ2TjhTaUptbFJJd2hDbFFoNFItRk1JZGZHQlNtWVlSbmkwNk9IZmRSUmpnSlB1cWtjYlZRQlJQUkNDVEMwZkFfSTZSVjlVQ0cwQkg5Z3dwVndQa015NWh2cmprQnpWWkxmQVdKNjVxeHpBME1HQWpOeVBuUV9Mb0ZaSXhTODg3V3QtalN5VE85NmpDWFhiMUFLMzFQa2F1QnFUdVBlcTJlUG1SWjJzcXlsLTQwNVU2Mm5PelNrM3dJZVJGZS1GMXlBTlJ3dEI5dEZkaWI0R193SDM2T0RxbA?oc=5,en,2026-08-24,
Trump-backed businessman Mike Mazzei looks to secure GOP nomination for Oklahoma governor,ABC News,abcnews.go.com,abcnews.go.com,2026-08-25,https://abcnews.com/Politics/wireStory/trump-backed-businessman-mike-mazzei-secure-gop-nomination-135925334,en,2026-08-25,
Trump and Vance to keynote Republicans' midterm convention in Texas,ABC News,abcnews.go.com,abcnews.go.com,2026-08-25,https://abcnews.com/Politics/wireStory/trump-vance-keynote-republicans-midterm-convention-texas-135953165,en,2026-08-25,
"ICE arrests jumped to nearly 50,000 in July, the highest monthly total of Trump’s second term",ABC News,abcnews.go.com,abcnews.go.com,2026-08-25,https://abcnews.com/US/wireStory/ice-arrests-jumped-50000-july-highest-monthly-total-135941401,en,2026-08-25,
Secret Service confirms awareness of Iranian video threatening Barron Trump's life,ABC News,abcnews.go.com,abcnews.go.com,2026-08-25,https://abcnews.com/US/wireStory/secret-service-confirms-awareness-iranian-state-media-video-135931606,en,2026-08-25,
