title,outlet,media_url,media_name,publish_date,url,language,date,debate_performance
Kennedy Center board votes to close main building after Trump name ruling,ABC News,abcnews.go.com,abcnews.go.com,2026-09-16,https://news.google.com/rss/articles/CBMiTEFVX3lxTE5VeG9nWGtPcVEyTTJkdmNmc0E0R1dYZnNocFh0bmZVTktrOW9kTVJkUWJBNFUzRDFRMmdWRmN4eU1KSm1md29uU21CRy0?oc=5,en,2026-09-16,
Trump claims military victory in Iran. But is the mission accomplished? ANALYSIS,ABC News,abcnews.go.com,abcnews.go.com,2026-09-17,https://news.google.com/rss/articles/CBMisgFBVV95cUxQWnZ4cllvVUNVMWJidExDVmVfQjI5V3k1WF9xakpiNlBDWnIwbThWREVBRTd5R2RRaS1QRXMwYnJWSGI4OURfX2N1MDlUOVJ2VDlCSnJvaDBmVkNobDZvb2FvdXZ5cDNXb3ZYOGpMdTVBa3luSGx5WmJVa3RYaGl3cVlYS2VIempuOXBLbll1anB3UlZtd1pqbWVVSHo2ejVVVG4weGZlcWtCUGlmR05YN0xB0gG3AUFVX3lxTFB5WDBGakw1MEdlVzRUN3pTMWIyLXBCek1RbTNRLWRidUt3aXFtbTA0TXJyTTJrOVJTQ2t5X3hMaFVESVh6NTlZYk1XNWJQVFRnV3NlM0tlRHhzRVotRTc1NFRrY2hGX3RrOEdQZVVIYzZ4aXNTaWViWFV1UFFSRzN0R19PWXdwZjVndEEzdXJrbHZiNS1mbXRiWkdYRmpYVDJfeGdqQXhzdTZ6SEw5ZWhxOVd6YzhiRQ?oc=5,en,2026-09-17,
Trump to announce all 50 states joining Medicaid drug pricing model,ABC News,abcnews.go.com,abcnews.go.com,2026-09-17,https://news.google.com/rss/articles/CBMipgFBVV95cUxNSDN6eHVxSGlnYlhfSnZGYm9RTTFScHdSVlFrcTMxT04xQmpJb2lkSXZZeWZIbXUyMnM3Uk9KVkpydzJpQzQ5ekZTMDFXckZwR2FNYnl2U3gtZjc3dmt6RElYaXltWUdtWFRsV3VwenlXdE1fdGF3THdyV3Q3SWI2bVp2S1BsNkMzeWNfVnFHd3ZDZlVyUGRQU045YmpFX0szYXVoSEF30gGrAUFVX3lxTFBzaG5pUTNjTUxmY3gta0JZay1PbDE4RFd5VTF6b3U1SkRKSDBBQ3g4ZHZWVk5LRURGWUJEVGYwdkpVV0EzLTRRMW9OQWZYSUw1SkZkVWxnZlU3Vi02TDE4SjFQc0M3TkJielBjYjhZemVuTmYtN0g5cVJiU05LZkxaZG1CR1VmeHlvVTBWR0tTVVFrVUstUTVtTmhnV25yR3B4UEU5NjViSXpCOA?oc=5,en,2026-09-17,
"Trump director of election security sparked Georgia office raid, affidavit says",ABC News,abcnews.go.com,abcnews.go.com,2026-09-17,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWFNyVlNGblFCd3ZfSEo5RGl2Z1htZGh0eGhxRkJBeGFGU2JKUG5haW5VYlM5RDBXTEV0Y2R0WVdzQTh3MU5lcFgyXzJ4aXJjcm1xcjE2Vzh0T3NzWVl6ck96eDF2MW1lREd1TFZ5Rl9MT2JVcFdyelFwOUJhbGMwWWg3VGZzSi1OYlRrQXUzaVk1YUJWelJjXzJfVmV1dFExRm1hYzNteDFwZ9IBrwFBVV95cUxNU0ljTjFlZmY5cExkci1ETmZKU2d5bm5lZ2NFVTBNUjM2RmdGVHhlNi1EMDFQYzl2Y2FtbXpGY3JDSlZmejZYWGpfenBlaHdQSFJqNENPNWhCWFVJTk0wUW15V3FwTjlFLWpUR3BacEF6U2theFBDdHUwNDZac0NzN3JyR1pEcG9pWU5WTVh6MmxDVHpzT2JJQ0FLNlR3Q25nWjhYcHdKT05mSk5xaDEw?oc=5,en,2026-09-17,
Carney embraces EU associate membership proposal as Trump pushes Canada closer to Europe,ABC News,abcnews.go.com,abcnews.go.com,2026-09-17,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTmxiLXlOR2wyMmhxdjdPR2lqaU5MWDlnNlVhanFtS0Zka1F4S0lFX19uZXMtMkdXV2pqRXhWVk5teFVOcUlqbUhWRzM1Q0RLQ01lSk1QYTBrcjNlTVBkVDk3WG5CRDNNYnVLRzFPQXBfc2NUNzBidEw1cEJvdmc2MVNhS0FtWjVvakVKcnU1Y0tOdGtwOEdGa0xoQ2tZYTVPX3U5ZXZDdXFQVUHSAbABQVVfeXFMUFMzR0Mzakdld2M5a1hUZWF1bVZjMnZJTGUyQ0FOeGtnLVlLTDV2SWZvNVpSQ2wtem9zYTdMazNFTnh4VmwyTzgzMF9rR2RwaENveDFYRmdMU3BQWGRqZVhfeE9FQ2xfcGh4WEw2blQ2YTg1R2Fuc2FEYXRTSHhmV1AxSkxhZFlxYl96b19JNXlfZG5sNFBmYUVMMXpWVDk4eXpvTTVFdXdYcjdYc1FlWEw?oc=5,en,2026-09-17,
Appeals court weighs Trump-backed Missouri congressional map despite Supreme Court block,ABC News,abcnews.go.com,abcnews.go.com,2026-09-17,https://news.google.com/rss/articles/CBMiswFBVV95cUxNcUpXdHowcXpISzJuRUpkTlFHYXQzbGcwUTRoWFVsckZvZFRwTXRJR25xOGl0UFJsYlRjcXFCQlRicWFvMnhSb2RlbUxBMWZDQTFJeFdyQmh0eXZWTURuVDVKT2tEWjJqdnQyOGJwajhmVVJSRmY4WVY3ZE1SN1dWVzhFWDMyY3YzUVBRV1libndWeE50aXBfYlJwMHdJYmE1R2o2UFE4X09vLVdlN25kQVBOWdIBswFBVV95cUxNcUpXdHowcXpISzJuRUpkTlFHYXQzbGcwUTRoWFVsckZvZFRwTXRJR25xOGl0UFJsYlRjcXFCQlRicWFvMnhSb2RlbUxBMWZDQTFJeFdyQmh0eXZWTURuVDVKT2tEWjJqdnQyOGJwajhmVVJSRmY4WVY3ZE1SN1dWVzhFWDMyY3YzUVBRV1libndWeE50aXBfYlJwMHdJYmE1R2o2UFE4X09vLVdlN25kQVBOWQ?oc=5,en,2026-09-17,
"Apple’s Cook, OpenAI CEO to Attend Trump Dinner With Xi",Bloomberg,bloomberg.com,bloomberg.com,2026-09-17,https://news.google.com/rss/articles/CBMisgFBVV95cUxOUHRrS3BTTDhpRGRtY3hLOGhONGFEbEpjVTJ2ZlFQcHNyVncxb2hVd3JrbjFtM2o5ZWRQb0ZQZElRdVNNZlRjZlNlOENZUmwyemM2RzQ2Q2ZxZVFheUJORHNsVG9TempKTlYzd0RMZkpVNE56dl9SYUZiZlNCSFhMN1owal9VLWhhUEpoNU5ONjR6Ym5icVJ2RzhiaUpSamZNQjZUdXRkWE5wVzhiWHBaTndR?oc=5,en,2026-09-17,
"Sacramento Sikh truck driver survives being stabbed 17 times at Wyoming rest stop, his lawyer says",CBS News,cbsnews.com,cbsnews.com,2026-09-17,https://www.cbsnews.com/sanfrancisco/news/sacramento-sikh-truck-driver-stabbed-wyoming/,en,2026-09-17,
"This plus-size clothing business faced a $90,000 bill because of tariffs. Then the community came together to help",CBS News,cbsnews.com,cbsnews.com,2026-09-17,https://www.cbsnews.com/minnesota/news/clothing-small-business-company-tariff-bill/,en,2026-09-17,
"Colorado lawmakers urged to fill gaps in food system, trace recall origins better",CBS News,cbsnews.com,cbsnews.com,2026-09-17,https://www.cbsnews.com/colorado/news/colorado-lawmakers-food-system-gaps-outbreaks/,en,2026-09-17,
