"basket","pres","term_start","month","months_in","pci","pci_se","pci_lo","pci_hi","pci_raw","pci_smooth","pci_smooth_lo","pci_smooth_hi","n_outlets","n_headlines"
"full","Biden",2021-01-20,2021-01-01,0,-19.72,2.71,-25.03,-14.4,2.32,-16.02,-25.86,-6.18,17,454
"full","Biden",2021-01-20,2021-02-01,1,-11.42,4.2,-19.64,-3.2,-9.28,-12.22,-19.24,-5.19,14,447
"full","Biden",2021-01-20,2021-03-01,2,-6.27,4.2,-14.5,1.95,-4.46,-9.17,-14.83,-3.5,14,420
"full","Biden",2021-01-20,2021-04-01,3,3,4.2,-5.22,11.22,5.14,-6.9,-13.12,-0.68,14,512
"full","Biden",2021-01-20,2021-05-01,4,-13.33,4.2,-21.56,-5.11,-12.71,-8.91,-15.13,-2.69,14,357
"full","Biden",2021-01-20,2021-06-01,5,-15.94,4.2,-24.16,-7.72,-13.8,-13.99,-20.21,-7.77,14,358
"full","Biden",2021-01-20,2021-07-01,6,-11.35,4.2,-19.58,-3.13,-9.21,-20.07,-26.29,-13.86,14,343
"full","Biden",2021-01-20,2021-08-01,7,-33.82,4.52,-42.67,-24.97,-31.85,-23.05,-29.27,-16.84,12,327
"full","Biden",2021-01-20,2021-09-01,8,-27.23,4.35,-35.75,-18.71,-25.3,-24.46,-30.67,-18.24,13,359
"full","Biden",2021-01-20,2021-10-01,9,-18.55,4.52,-27.41,-9.7,-18.24,-22.91,-29.13,-16.7,12,288
"full","Biden",2021-01-20,2021-11-01,10,-20.75,4.2,-28.97,-12.52,-18.6,-21.15,-27.37,-14.94,14,301
"full","Biden",2021-01-20,2021-12-01,11,-19.01,4.35,-27.53,-10.49,-18.71,-21.5,-27.72,-15.28,13,276
"full","Biden",2021-01-20,2022-01-01,12,-28.4,4.2,-36.62,-20.17,-26.26,-20.29,-26.5,-14.07,14,291
"full","Biden",2021-01-20,2022-02-01,13,-15.84,4.51,-24.69,-6.99,-13.95,-18.14,-24.35,-11.92,12,227
"full","Biden",2021-01-20,2022-03-01,14,-11.2,4.35,-19.71,-2.68,-9.06,-15.79,-22,-9.57,13,320
"full","Biden",2021-01-20,2022-04-01,15,-15.32,4.51,-24.17,-6.47,-13.57,-15.74,-21.95,-9.52,12,202
"full","Biden",2021-01-20,2022-05-01,16,-17.39,4.71,-26.62,-8.17,-15.52,-18.43,-24.65,-12.22,11,237
"full","Biden",2021-01-20,2022-06-01,17,-24.21,4.95,-33.91,-14.52,-21.86,-19.99,-26.21,-13.77,10,230
"full","Biden",2021-01-20,2022-07-01,18,-21.84,4.95,-31.53,-12.15,-19.49,-19.43,-25.65,-13.22,10,304
"full","Biden",2021-01-20,2022-08-01,19,-14.46,4.51,-23.3,-5.61,-12.56,-18.04,-24.25,-11.82,12,229
"full","Biden",2021-01-20,2022-09-01,20,-15.07,4.36,-23.62,-6.52,-12.55,-16.61,-22.82,-10.39,13,243
"full","Biden",2021-01-20,2022-10-01,21,-19.97,4.71,-29.2,-10.74,-17.99,-14.48,-20.7,-8.27,11,196
"full","Biden",2021-01-20,2022-11-01,22,-12.67,4.93,-22.32,-3.01,-10.71,-12.26,-18.48,-6.04,10,210
"full","Biden",2021-01-20,2022-12-01,23,-1.92,5.2,-12.12,8.28,0.39,-10.06,-16.28,-3.84,9,150
"full","Biden",2021-01-20,2023-01-01,24,-15.02,4.72,-24.28,-5.76,-12.68,-9.03,-15.25,-2.82,11,271
"full","Biden",2021-01-20,2023-02-01,25,-4.09,4.35,-12.61,4.42,-1.9,-11.48,-17.7,-5.27,13,308
"full","Biden",2021-01-20,2023-03-01,26,-19.12,4.51,-27.97,-10.27,-17.21,-14.09,-20.31,-7.87,12,272
"full","Biden",2021-01-20,2023-04-01,27,-13.64,4.52,-22.49,-4.79,-11.74,-15.92,-22.14,-9.7,12,220
"full","Biden",2021-01-20,2023-05-01,28,-25.48,5.2,-35.67,-15.28,-23.17,-15.27,-21.48,-9.05,9,228
"full","Biden",2021-01-20,2023-06-01,29,-1.58,4.95,-11.28,8.11,0.73,-16.06,-22.28,-9.85,10,183
"full","Biden",2021-01-20,2023-07-01,30,-21.35,4.51,-30.2,-12.5,-19.44,-17.46,-23.68,-11.24,12,223
"full","Biden",2021-01-20,2023-08-01,31,-22.38,4.52,-31.23,-13.52,-20.19,-19.8,-26.02,-13.58,12,207
"full","Biden",2021-01-20,2023-09-01,32,-26.34,4.35,-34.85,-17.82,-24.2,-19.4,-25.62,-13.18,13,298
"full","Biden",2021-01-20,2023-10-01,33,-9.91,4.51,-18.76,-1.06,-8,-17.52,-23.73,-11.3,12,224
"full","Biden",2021-01-20,2023-11-01,34,-14.24,4.71,-23.47,-5.01,-12.42,-17.31,-23.53,-11.09,11,229
"full","Biden",2021-01-20,2023-12-01,35,-20.27,4.52,-29.12,-11.42,-18.12,-19.74,-25.96,-13.52,12,212
"full","Biden",2021-01-20,2024-01-01,36,-28.45,4.35,-36.97,-19.93,-26.3,-21.69,-27.91,-15.47,13,264
"full","Biden",2021-01-20,2024-02-01,37,-19.83,4.06,-27.79,-11.86,-17.61,-21.66,-27.88,-15.45,15,378
"full","Biden",2021-01-20,2024-03-01,38,-18.16,3.94,-25.89,-10.44,-15.92,-20.48,-26.7,-14.26,16,411
"full","Biden",2021-01-20,2024-04-01,39,-19.92,4.06,-27.88,-11.96,-17.71,-20.62,-26.84,-14.4,15,329
"full","Biden",2021-01-20,2024-05-01,40,-22.25,4.06,-30.2,-14.29,-19.87,-21.97,-28.19,-15.75,15,393
"full","Biden",2021-01-20,2024-06-01,41,-25.57,3.83,-33.08,-18.07,-23.33,-21.86,-28.08,-15.65,17,483
"full","Biden",2021-01-20,2024-07-01,42,-21.01,3.64,-28.14,-13.88,-19.47,-20.3,-26.52,-14.08,19,750
"full","Biden",2021-01-20,2024-08-01,43,-14.38,4.73,-23.64,-5.12,-11.46,-17.53,-23.74,-11.31,11,166
"full","Biden",2021-01-20,2024-09-01,44,-17.98,5.2,-28.18,-7.77,-15.19,-15.05,-21.27,-8.84,9,119
"full","Biden",2021-01-20,2024-10-01,45,-8.42,4.93,-18.08,1.24,-6.64,-15.94,-22.16,-9.72,10,126
"full","Biden",2021-01-20,2024-11-01,46,-19.43,4.71,-28.66,-10.21,-17.53,-17.42,-23.09,-11.76,11,137
"full","Biden",2021-01-20,2024-12-01,47,-24.91,4.2,-33.13,-16.68,-22.56,-18.57,-25.6,-11.55,14,230
"full","Biden",2021-01-20,2025-01-01,48,-15.55,2.94,-21.31,-9.78,-5.16,-19.89,-29.74,-10.03,13,180
"full","Bush 41",1989-01-20,1989-01-01,0,-1.52,2.7,-6.81,3.78,5.87,-7.08,-14.4,0.24,19,878
"full","Bush 41",1989-01-20,1989-02-01,1,-12.38,3.65,-19.54,-5.23,-9.95,-7.84,-13.07,-2.61,19,1614
"full","Bush 41",1989-01-20,1989-03-01,2,-14.51,3.65,-21.66,-7.36,-12.08,-8.35,-12.56,-4.13,19,1228
"full","Bush 41",1989-01-20,1989-04-01,3,-4.28,3.56,-11.26,2.71,-1.89,-8.31,-12.94,-3.68,20,1262
"full","Bush 41",1989-01-20,1989-05-01,4,-7.6,3.48,-14.43,-0.77,-5.14,-5.71,-10.34,-1.09,21,1423
"full","Bush 41",1989-01-20,1989-06-01,5,-1.73,3.48,-8.56,5.1,0.73,-5.75,-10.38,-1.13,21,1216
"full","Bush 41",1989-01-20,1989-07-01,6,-5.38,3.56,-12.36,1.61,-2.78,-7.17,-11.79,-2.54,20,1115
"full","Bush 41",1989-01-20,1989-08-01,7,-14.99,3.65,-22.14,-7.84,-12.34,-8.62,-13.24,-3.99,19,869
"full","Bush 41",1989-01-20,1989-09-01,8,-5.73,3.48,-12.56,1.1,-3.02,-10.06,-14.69,-5.44,21,1353
"full","Bush 41",1989-01-20,1989-10-01,9,-12.91,3.48,-19.74,-6.08,-10.28,-8.72,-13.35,-4.1,21,1098
"full","Bush 41",1989-01-20,1989-11-01,10,-7.27,3.41,-13.95,-0.59,-4.69,-7.3,-11.92,-2.67,22,1198
"full","Bush 41",1989-01-20,1989-12-01,11,-1.85,3.41,-8.53,4.83,0.73,-6.26,-10.89,-1.63,22,1146
"full","Bush 41",1989-01-20,1990-01-01,12,-8.5,3.48,-15.33,-1.67,-5.99,-5.46,-10.09,-0.84,21,1260
"full","Bush 41",1989-01-20,1990-02-01,13,-3.93,3.48,-10.76,2.9,-1.41,-6.35,-10.98,-1.72,21,1189
"full","Bush 41",1989-01-20,1990-03-01,14,-8.14,3.56,-15.12,-1.15,-5.48,-6.91,-11.54,-2.28,20,1019
"full","Bush 41",1989-01-20,1990-04-01,15,-7.7,3.48,-14.53,-0.87,-5.18,-7.34,-11.96,-2.71,21,897
"full","Bush 41",1989-01-20,1990-05-01,16,-7.38,3.56,-14.36,-0.4,-4.82,-8.31,-12.94,-3.69,20,1327
"full","Bush 41",1989-01-20,1990-06-01,17,-7.52,3.48,-14.35,-0.69,-5,-10.03,-14.66,-5.4,21,1034
"full","Bush 41",1989-01-20,1990-07-01,18,-14.76,3.48,-21.58,-7.93,-12.24,-11.12,-15.75,-6.5,21,1049
"full","Bush 41",1989-01-20,1990-08-01,19,-14.22,3.48,-21.05,-7.39,-11.7,-12.13,-16.76,-7.51,21,1105
"full","Bush 41",1989-01-20,1990-09-01,20,-5.72,3.48,-12.55,1.11,-3.2,-13.72,-18.35,-9.09,21,1153
"full","Bush 41",1989-01-20,1990-10-01,21,-20.47,3.56,-27.46,-13.49,-17.82,-14.54,-19.17,-9.91,20,1337
"full","Bush 41",1989-01-20,1990-11-01,22,-17.05,3.48,-23.88,-10.23,-14.54,-14.15,-18.78,-9.53,21,1377
"full","Bush 41",1989-01-20,1990-12-01,23,-14.03,3.56,-21.02,-7.05,-11.47,-10.77,-15.4,-6.15,20,1185
"full","Bush 41",1989-01-20,1991-01-01,24,1.59,3.41,-5.09,8.27,4.31,-6.88,-11.51,-2.25,22,1380
"full","Bush 41",1989-01-20,1991-02-01,25,-7.32,3.41,-14,-0.64,-4.6,-5.01,-9.64,-0.39,22,1338
"full","Bush 41",1989-01-20,1991-03-01,26,-1.58,3.41,-8.26,5.11,1.14,-6.77,-11.4,-2.15,22,1074
"full","Bush 41",1989-01-20,1991-04-01,27,-15.1,3.41,-21.79,-8.42,-12.38,-8.23,-12.85,-3.6,22,1018
"full","Bush 41",1989-01-20,1991-05-01,28,-7.3,3.56,-14.29,-0.32,-4.38,-9.46,-14.08,-4.83,20,1447
"full","Bush 41",1989-01-20,1991-06-01,29,-8.8,3.41,-15.48,-2.12,-6.08,-9.56,-14.19,-4.94,22,1025
"full","Bush 41",1989-01-20,1991-07-01,30,-10.73,3.41,-17.42,-4.05,-8.01,-9.36,-13.98,-4.73,22,1175
"full","Bush 41",1989-01-20,1991-08-01,31,-9.03,3.34,-15.58,-2.48,-6.59,-10.27,-14.9,-5.65,23,988
"full","Bush 41",1989-01-20,1991-09-01,32,-9.74,3.41,-16.43,-3.06,-7.18,-12.2,-16.83,-7.57,22,1131
"full","Bush 41",1989-01-20,1991-10-01,33,-15.51,3.41,-22.2,-8.83,-12.95,-14.94,-19.56,-10.31,22,1078
"full","Bush 41",1989-01-20,1991-11-01,34,-20.39,3.48,-27.22,-13.56,-17.69,-17.41,-22.04,-12.78,21,1278
"full","Bush 41",1989-01-20,1991-12-01,35,-18.54,3.48,-25.37,-11.71,-15.84,-19.24,-23.87,-14.61,21,1215
"full","Bush 41",1989-01-20,1992-01-01,36,-18.5,3.34,-25.05,-11.95,-16.06,-19.43,-24.06,-14.81,23,2070
"full","Bush 41",1989-01-20,1992-02-01,37,-23.94,3.22,-30.25,-17.64,-21.68,-17.32,-21.95,-12.7,25,1880
"full","Bush 41",1989-01-20,1992-03-01,38,-11.89,3.22,-18.2,-5.59,-9.63,-14.75,-19.38,-10.13,25,1648
"full","Bush 41",1989-01-20,1992-04-01,39,-8.02,3.34,-14.57,-1.47,-5.58,-12.38,-17.01,-7.76,23,1068
"full","Bush 41",1989-01-20,1992-05-01,40,-12.94,3.28,-19.36,-6.51,-10.57,-12.55,-17.18,-7.93,24,1475
"full","Bush 41",1989-01-20,1992-06-01,41,-13.18,3.22,-19.48,-6.87,-10.91,-15.44,-20.06,-10.81,25,1524
"full","Bush 41",1989-01-20,1992-07-01,42,-22.13,3.22,-28.44,-15.83,-19.87,-17.58,-22.21,-12.95,25,1682
"full","Bush 41",1989-01-20,1992-08-01,43,-18.58,3.22,-24.88,-12.27,-16.31,-18.64,-23.26,-14.01,25,2917
"full","Bush 41",1989-01-20,1992-09-01,44,-17.89,3.22,-24.19,-11.59,-15.62,-18.63,-23.26,-14,25,2401
"full","Bush 41",1989-01-20,1992-10-01,45,-17.21,3.28,-23.63,-10.79,-14.94,-17.17,-21.8,-12.54,24,2642
"full","Bush 41",1989-01-20,1992-11-01,46,-21.03,3.28,-27.45,-14.61,-18.76,-13.84,-18.05,-9.62,24,1039
"full","Bush 41",1989-01-20,1992-12-01,47,-3.93,3.48,-10.76,2.9,-1.18,-10.92,-16.15,-5.7,21,762
"full","Bush 41",1989-01-20,1993-01-01,48,-9.54,2.42,-14.27,-4.8,-7.14,-7.6,-14.94,-0.27,23,695
"full","Bush 43",2001-01-20,2001-01-01,0,-7.73,2.14,-11.93,-3.54,-1.52,-6.78,-14.44,0.87,34,1206
"full","Bush 43",2001-01-20,2001-02-01,1,-5.97,2.79,-11.44,-0.51,-3.96,-9.2,-14.67,-3.73,34,1762
"full","Bush 43",2001-01-20,2001-03-01,2,-12.68,2.84,-18.24,-7.12,-10.55,-11.3,-15.7,-6.89,33,1762
"full","Bush 43",2001-01-20,2001-04-01,3,-17.84,2.83,-23.38,-12.3,-15.85,-13.36,-18.2,-8.53,33,1702
"full","Bush 43",2001-01-20,2001-05-01,4,-13,2.76,-18.4,-7.6,-10.87,-13.71,-18.54,-8.87,35,1803
"full","Bush 43",2001-01-20,2001-06-01,5,-10.6,2.83,-16.14,-5.06,-8.7,-13.14,-17.98,-8.3,33,1549
"full","Bush 43",2001-01-20,2001-07-01,6,-14.12,2.96,-19.92,-8.32,-12.17,-11.64,-16.48,-6.8,30,1345
"full","Bush 43",2001-01-20,2001-08-01,7,-13.58,2.83,-19.12,-8.04,-11.38,-8.11,-12.95,-3.27,33,1237
"full","Bush 43",2001-01-20,2001-09-01,8,-0.88,2.79,-6.35,4.59,1.11,-3.03,-7.87,1.81,34,1518
"full","Bush 43",2001-01-20,2001-10-01,9,6.94,2.96,1.14,12.74,8.92,1.38,-3.46,6.21,30,1076
"full","Bush 43",2001-01-20,2001-11-01,10,3.36,3.01,-2.53,9.26,5.51,1.94,-2.9,6.77,29,1061
"full","Bush 43",2001-01-20,2001-12-01,11,1.06,2.95,-4.73,6.84,2.71,-1.73,-6.56,3.11,30,872
"full","Bush 43",2001-01-20,2002-01-01,12,-9.91,2.88,-15.55,-4.27,-7.7,-6.21,-11.05,-1.38,32,1223
"full","Bush 43",2001-01-20,2002-02-01,13,-10.44,2.76,-15.84,-5.04,-8.31,-10.39,-15.22,-5.55,35,1408
"full","Bush 43",2001-01-20,2002-03-01,14,-13,2.79,-18.47,-7.53,-10.81,-12.07,-16.91,-7.24,34,1192
"full","Bush 43",2001-01-20,2002-04-01,15,-16.19,2.84,-21.75,-10.63,-13.84,-11.6,-16.44,-6.77,33,1009
"full","Bush 43",2001-01-20,2002-05-01,16,-5.22,2.76,-10.62,0.18,-3.13,-11.9,-16.73,-7.06,35,1178
"full","Bush 43",2001-01-20,2002-06-01,17,-12.38,2.87,-18,-6.76,-10.21,-13,-17.84,-8.16,32,1221
"full","Bush 43",2001-01-20,2002-07-01,18,-17.7,2.83,-23.25,-12.16,-15.82,-14.93,-19.77,-10.1,33,1185
"full","Bush 43",2001-01-20,2002-08-01,19,-19.48,2.83,-25.02,-13.94,-17.32,-14.67,-19.51,-9.83,33,994
"full","Bush 43",2001-01-20,2002-09-01,20,-11.61,2.79,-17.08,-6.14,-9.63,-10.19,-15.03,-5.36,34,1426
"full","Bush 43",2001-01-20,2002-10-01,21,-3.23,2.79,-8.7,2.24,-1.18,-5.41,-10.25,-0.57,34,1296
"full","Bush 43",2001-01-20,2002-11-01,22,7.32,3.01,1.43,13.21,9.65,-5.14,-9.97,-0.3,29,1021
"full","Bush 43",2001-01-20,2002-12-01,23,-14.33,2.96,-20.13,-8.53,-12.26,-8.1,-12.94,-3.26,30,1038
"full","Bush 43",2001-01-20,2003-01-01,24,-15.73,2.72,-21.06,-10.39,-13.5,-12.54,-17.38,-7.7,36,1749
"full","Bush 43",2001-01-20,2003-02-01,25,-15.04,2.76,-20.43,-9.64,-12.95,-13.89,-18.73,-9.06,35,1357
"full","Bush 43",2001-01-20,2003-03-01,26,-12.26,2.76,-17.66,-6.86,-10.13,-12.36,-17.2,-7.53,35,1442
"full","Bush 43",2001-01-20,2003-04-01,27,-9.66,3,-15.53,-3.79,-7.96,-10.45,-15.28,-5.61,29,993
"full","Bush 43",2001-01-20,2003-05-01,28,-9.37,2.87,-14.99,-3.75,-7.42,-9.54,-14.38,-4.7,32,1285
"full","Bush 43",2001-01-20,2003-06-01,29,-6.22,2.87,-11.83,-0.6,-4.21,-10.41,-15.25,-5.58,32,1021
"full","Bush 43",2001-01-20,2003-07-01,30,-15.5,2.79,-20.97,-10.03,-14.03,-12,-16.84,-7.16,34,1403
"full","Bush 43",2001-01-20,2003-08-01,31,-12.84,2.95,-18.62,-7.06,-11.04,-13.8,-18.64,-8.96,30,751
"full","Bush 43",2001-01-20,2003-09-01,32,-17.25,2.76,-22.65,-11.85,-15.7,-13.73,-18.57,-8.89,35,1204
"full","Bush 43",2001-01-20,2003-10-01,33,-10.92,2.83,-16.46,-5.38,-9.22,-12.71,-17.55,-7.87,33,1160
"full","Bush 43",2001-01-20,2003-11-01,34,-11.35,2.79,-16.83,-5.88,-10.18,-11.4,-16.24,-6.56,34,1158
"full","Bush 43",2001-01-20,2003-12-01,35,-9.55,2.87,-15.17,-3.93,-7.6,-11.63,-16.47,-6.79,32,982
"full","Bush 43",2001-01-20,2004-01-01,36,-11.66,2.69,-16.93,-6.39,-10.28,-13.58,-18.42,-8.74,37,1540
"full","Bush 43",2001-01-20,2004-02-01,37,-18.95,2.76,-24.35,-13.55,-17.34,-15.73,-20.57,-10.9,35,1621
"full","Bush 43",2001-01-20,2004-03-01,38,-17.9,2.83,-23.45,-12.36,-16.22,-17.65,-22.49,-12.81,33,1394
"full","Bush 43",2001-01-20,2004-04-01,39,-17.58,2.76,-22.98,-12.18,-15.98,-18.28,-23.12,-13.44,35,1507
"full","Bush 43",2001-01-20,2004-05-01,40,-19.75,2.83,-25.29,-14.2,-18.32,-17.98,-22.81,-13.14,33,1312
"full","Bush 43",2001-01-20,2004-06-01,41,-16.82,2.83,-22.37,-11.28,-15.32,-17.13,-21.97,-12.29,33,1347
"full","Bush 43",2001-01-20,2004-07-01,42,-16.95,2.83,-22.49,-11.41,-15.69,-14.53,-19.37,-9.69,33,1239
"full","Bush 43",2001-01-20,2004-08-01,43,-11.33,2.76,-16.73,-5.92,-9.72,-11.04,-15.88,-6.2,35,1693
"full","Bush 43",2001-01-20,2004-09-01,44,-4.7,2.66,-9.92,0.51,-3.26,-6.48,-11.32,-1.65,38,2051
"full","Bush 43",2001-01-20,2004-10-01,45,-5.51,2.69,-10.79,-0.24,-4.17,-2.36,-7.2,2.47,37,2171
"full","Bush 43",2001-01-20,2004-11-01,46,8.78,2.72,3.45,14.12,10.41,-1.74,-6.58,3.1,36,1577
"full","Bush 43",2001-01-20,2004-12-01,47,-6.95,3,-12.82,-1.08,-5.66,-3.22,-8.05,1.62,29,889
"full","Bush 43",2001-01-20,2005-01-01,48,-5.97,2.72,-11.3,-0.63,-4.25,-8.31,-13.14,-3.47,36,1247
"full","Bush 43",2001-01-20,2005-02-01,49,-13.88,2.69,-19.15,-8.61,-12.11,-13.64,-18.48,-8.8,37,1379
"full","Bush 43",2001-01-20,2005-03-01,50,-21.29,2.95,-27.07,-15.5,-19.57,-17.34,-22.18,-12.5,30,855
"full","Bush 43",2001-01-20,2005-04-01,51,-19.69,2.95,-25.48,-13.91,-18.47,-20.04,-24.88,-15.2,30,684
"full","Bush 43",2001-01-20,2005-05-01,52,-20.2,2.91,-25.89,-14.5,-18.54,-20.12,-24.96,-15.29,31,759
"full","Bush 43",2001-01-20,2005-06-01,53,-23.57,3.09,-29.64,-17.51,-22.1,-17.9,-22.74,-13.06,27,749
"full","Bush 43",2001-01-20,2005-07-01,54,-11.02,2.87,-16.64,-5.4,-9.57,-15.5,-20.34,-10.67,32,800
"full","Bush 43",2001-01-20,2005-08-01,55,-11.6,2.91,-17.3,-5.9,-10.17,-13.82,-18.66,-8.99,31,689
"full","Bush 43",2001-01-20,2005-09-01,56,-13.01,2.91,-18.71,-7.31,-11.59,-14.64,-19.48,-9.8,31,938
"full","Bush 43",2001-01-20,2005-10-01,57,-19.72,2.91,-25.41,-14.02,-18.21,-15.36,-20.2,-10.52,31,987
"full","Bush 43",2001-01-20,2005-11-01,58,-17.7,2.83,-23.24,-12.16,-15.83,-14.31,-19.15,-9.48,33,1001
"full","Bush 43",2001-01-20,2005-12-01,59,-6.64,2.87,-12.26,-1.02,-5.87,-12.82,-17.66,-7.99,32,946
"full","Bush 43",2001-01-20,2006-01-01,60,-11.71,2.95,-17.49,-5.93,-10.61,-12.72,-17.55,-7.88,30,774
"full","Bush 43",2001-01-20,2006-02-01,61,-14.03,2.79,-19.5,-8.56,-13.41,-15.58,-20.42,-10.75,34,971
"full","Bush 43",2001-01-20,2006-03-01,62,-22.82,2.95,-28.6,-17.04,-21.4,-18.37,-23.2,-13.53,30,888
"full","Bush 43",2001-01-20,2006-04-01,63,-20.38,2.79,-25.86,-14.91,-19.18,-18.75,-23.59,-13.91,34,872
"full","Bush 43",2001-01-20,2006-05-01,64,-18.2,2.91,-23.9,-12.5,-16.73,-17.09,-21.93,-12.25,31,838
"full","Bush 43",2001-01-20,2006-06-01,65,-9.78,3.04,-15.74,-3.81,-8.5,-15.89,-20.73,-11.05,28,613
"full","Bush 43",2001-01-20,2006-07-01,66,-18.47,3,-24.34,-12.59,-17.1,-14.97,-19.81,-10.14,29,752
"full","Bush 43",2001-01-20,2006-08-01,67,-16.42,3.09,-22.48,-10.35,-16.15,-15.35,-20.19,-10.51,27,512
"full","Bush 43",2001-01-20,2006-09-01,68,-11.32,2.91,-17.02,-5.62,-10.5,-16.15,-20.98,-11.31,31,839
"full","Bush 43",2001-01-20,2006-10-01,69,-20.2,2.91,-25.9,-14.5,-19.44,-16.45,-21.29,-11.61,31,665
"full","Bush 43",2001-01-20,2006-11-01,70,-16.59,3.15,-22.76,-10.42,-16.4,-19.25,-24.09,-14.42,26,702
"full","Bush 43",2001-01-20,2006-12-01,71,-18.52,3.22,-24.82,-12.22,-18.07,-22.86,-27.7,-18.03,25,591
"full","Bush 43",2001-01-20,2007-01-01,72,-34.28,2.66,-39.5,-29.07,-33.25,-24.66,-29.5,-19.83,38,1185
"full","Bush 43",2001-01-20,2007-02-01,73,-24.81,3.2,-31.09,-18.53,-23.41,-24.6,-29.44,-19.76,25,554
"full","Bush 43",2001-01-20,2007-03-01,74,-20.51,3.33,-27.04,-13.99,-19.16,-21.99,-26.82,-17.15,23,649
"full","Bush 43",2001-01-20,2007-04-01,75,-15.77,3.27,-22.17,-9.37,-14.86,-20.33,-25.17,-15.49,24,501
"full","Bush 43",2001-01-20,2007-05-01,76,-22.63,3.15,-28.8,-16.46,-20.78,-20.43,-25.27,-15.59,26,558
"full","Bush 43",2001-01-20,2007-06-01,77,-22.59,3.33,-29.11,-16.06,-22.56,-21.16,-26,-16.33,23,555
"full","Bush 43",2001-01-20,2007-07-01,78,-20.45,3.09,-26.51,-14.39,-18.91,-20.48,-25.32,-15.64,27,656
"full","Bush 43",2001-01-20,2007-08-01,79,-20.53,3.33,-27.05,-14,-19.1,-18.54,-23.38,-13.7,23,465
"full","Bush 43",2001-01-20,2007-09-01,80,-12.9,3.27,-19.3,-6.5,-11.71,-17.01,-21.85,-12.17,24,562
"full","Bush 43",2001-01-20,2007-10-01,81,-18.34,3.15,-24.51,-12.17,-16.91,-15.64,-20.48,-10.81,26,443
"full","Bush 43",2001-01-20,2007-11-01,82,-12.92,3.2,-19.2,-6.64,-11.32,-14.98,-19.82,-10.14,25,457
"full","Bush 43",2001-01-20,2007-12-01,83,-17.03,3.56,-24.02,-10.04,-14.49,-13.02,-17.86,-8.18,20,412
"full","Bush 43",2001-01-20,2008-01-01,84,-9.1,3.27,-15.5,-2.7,-8.07,-11.14,-15.97,-6.3,24,513
"full","Bush 43",2001-01-20,2008-02-01,85,-6.49,3.55,-13.45,0.48,-6.18,-9.54,-14.37,-4.7,20,360
"full","Bush 43",2001-01-20,2008-03-01,86,-12,3.83,-19.51,-4.49,-11.04,-9.76,-14.6,-4.92,17,309
"full","Bush 43",2001-01-20,2008-04-01,87,-5.6,3.47,-12.41,1.2,-4.88,-13.02,-17.86,-8.19,21,368
"full","Bush 43",2001-01-20,2008-05-01,88,-23.03,3.47,-29.84,-16.22,-22.11,-14.94,-19.78,-10.1,21,396
"full","Bush 43",2001-01-20,2008-06-01,89,-17.84,3.64,-24.97,-10.71,-16.85,-15.77,-20.61,-10.94,19,293
"full","Bush 43",2001-01-20,2008-07-01,90,-11.15,3.83,-18.66,-3.64,-10.12,-14.81,-19.65,-9.97,17,324
"full","Bush 43",2001-01-20,2008-08-01,91,-13.28,3.95,-21.04,-5.53,-11.12,-13.22,-18.06,-8.39,16,220
"full","Bush 43",2001-01-20,2008-09-01,92,-13.27,3.83,-20.78,-5.76,-11.62,-12.62,-17.46,-7.79,17,279
"full","Bush 43",2001-01-20,2008-10-01,93,-13.64,3.83,-21.15,-6.13,-11.82,-13.2,-18.03,-8.36,17,214
"full","Bush 43",2001-01-20,2008-11-01,94,-7.96,3.83,-15.47,-0.45,-7.4,-11.69,-16.09,-7.28,17,261
"full","Bush 43",2001-01-20,2008-12-01,95,-25.06,3.55,-32.02,-18.1,-24.24,-8.59,-14.05,-3.12,20,340
"full","Bush 43",2001-01-20,2009-01-01,96,5.2,2.27,0.74,9.65,-3.13,-5.37,-13.04,2.31,20,267
"full","Carter",1977-01-20,1977-01-01,0,-1.79,3.96,-9.55,5.96,-1.77,-2.75,-9.2,3.69,8,414
"full","Carter",1977-01-20,1977-02-01,1,-5.25,5.51,-16.05,5.55,-2.65,-4.43,-9.04,0.17,8,853
"full","Carter",1977-01-20,1977-03-01,2,-5.81,5.51,-16.61,4.99,-3.21,-6.01,-9.72,-2.3,8,973
"full","Carter",1977-01-20,1977-04-01,3,-10.56,5.51,-21.36,0.24,-7.95,-7.47,-11.55,-3.4,8,933
"full","Carter",1977-01-20,1977-05-01,4,-4.13,5.51,-14.93,6.67,-1.53,-8.64,-12.71,-4.56,8,857
"full","Carter",1977-01-20,1977-06-01,5,-13.64,5.51,-24.43,-2.84,-11.03,-8.52,-12.59,-4.44,8,717
"full","Carter",1977-01-20,1977-07-01,6,-6.67,5.51,-17.47,4.12,-4.07,-9.39,-13.47,-5.32,8,766
"full","Carter",1977-01-20,1977-08-01,7,-7.76,5.51,-18.56,3.04,-5.16,-10.78,-14.86,-6.71,8,658
"full","Carter",1977-01-20,1977-09-01,8,-15.79,5.51,-26.59,-4.99,-13.19,-12.69,-16.77,-8.62,8,669
"full","Carter",1977-01-20,1977-10-01,9,-14.33,5.51,-25.13,-3.53,-11.73,-14.82,-18.9,-10.75,8,738
"full","Carter",1977-01-20,1977-11-01,10,-18.25,5.51,-29.05,-7.45,-15.65,-14.58,-18.66,-10.51,8,513
